name,phone,accom_num,room_num,price,paid
張小明,0934-652-871,5,302,15000,1
孫麗麗,0915-738-294,8,308,15000,0
李大華,0938-547-213,12,203,12000,1
馬小芳,0964-382-174,15,301,12000,1
王美麗,0987-654-321,17,606,10000,1
朱明明,0972-384-615,22,306,9000,0
林俊傑,0968-547-632,23,206,9000,1
袁宏偉,0919-374-852,26,109,9000,1
陳小雲,0912-345-678,32,301,8000,1
徐小潔,0918-742-936,33,206,8000,0
黃大山,0981-763-542,38,205,7000,0
郭美玲,0937-481-295,39,109,7000,1
趙四海,0953-672-148,45,302,5000,1
胡婷,0969-251-487,47,104,5000,0
周美美,0983-294-765,50,301,5000,1
高山,932-148-957,54,-,4000,0
吳志強,0921-573-849,60,-,3000,1
鄭偉傑,0927-845-913,62,-,3000,1
蔡文傑,0975-842-361,67,-,2000,0
何嘉嘉,0976-823-914,74,-,1000,1
